marca,categoria,subcategoria,linea,producto,descripcion,aplicaciones,caracteristicas,specs,sku,variante,atributos,imagenes
SPAR,Sistemas para closet,,,Tubo ovalado para closet cromado y soporte,"Tubo cromado de 3 m para colgar ropa en closet, con soporte para anclar a pared.",,,,10009769,TUBO OVALADO PARA CLOSET CROMADO SPAR,tipo=Tubo,
SPAR,Sistemas para closet,,,Tubo ovalado para closet cromado y soporte,"Tubo cromado de 3 m para colgar ropa en closet, con soporte para anclar a pared.",,,,10009768,SOPORTE PARA TUBO OVALADO DE CLOSET SPAR,tipo=Soporte,
SPAR,Accesorios para cocina,,,Vajillero Spar en acero inoxidable,"Bandeja en acero inoxidable, plegable y graduable 2 mm al ancho del mueble. Fácil limpieza.",,"Plegable|Incluye platero, portavasos y bandeja",,10009430,VAJILLERO SPAR INOX MÓDULO 60 CM,modulo=60 cm,
SPAR,Accesorios para cocina,,,Vajillero Spar en acero inoxidable,"Bandeja en acero inoxidable, plegable y graduable 2 mm al ancho del mueble. Fácil limpieza.",,"Plegable|Incluye platero, portavasos y bandeja",,10009431,VAJILLERO SPAR INOX MÓDULO 70 CM,modulo=70 cm,
SPAR,Accesorios para cocina,,,Vajillero Spar en acero inoxidable,"Bandeja en acero inoxidable, plegable y graduable 2 mm al ancho del mueble. Fácil limpieza.",,"Plegable|Incluye platero, portavasos y bandeja",,10009432,VAJILLERO SPAR INOX MÓDULO 80 CM,modulo=80 cm,
SPAR,Accesorios para cocina,,,Vajillero Spar en acero inoxidable,"Bandeja en acero inoxidable, plegable y graduable 2 mm al ancho del mueble. Fácil limpieza.",,"Plegable|Incluye platero, portavasos y bandeja",,10009433,VAJILLERO SPAR INOX MÓDULO 90 CM,modulo=90 cm,
SPAR,Accesorios para cocina,,,Cubiertero Spar en acero inoxidable,Cubiertero modular para organizar utensilios; protege los muebles de la humedad. Bandejas intercambiables.,,Modular|Bandejas intercambiables,,10009416,CUBIERTERO SPAR INOX 4 ESPACIOS,espacios=4,
SPAR,Accesorios para cocina,,,Cubiertero Spar en acero inoxidable,Cubiertero modular para organizar utensilios; protege los muebles de la humedad. Bandejas intercambiables.,,Modular|Bandejas intercambiables,,10009415,CUBIERTERO SPAR INOX 6 ESPACIOS,espacios=6,
SPAR,Accesorios para cocina,,,Cubiertero Spar en acero inoxidable,Cubiertero modular para organizar utensilios; protege los muebles de la humedad. Bandejas intercambiables.,,Modular|Bandejas intercambiables,,10009417,CUBIERTERO SPAR INOX 8 ESPACIOS,espacios=8,
SPAR,Accesorios para cocina,,,Cubiertero plástico,Cubiertero monoconcha para organizar utensilios; pestaña de 2 cm ajustable al cajón.,,,,10009410,CUBIERTERO PLÁSTICO 3 ESPACIOS P48xA38xH5cm,espacios=3,
SPAR,Accesorios para cocina,,,Cubiertero plástico,Cubiertero monoconcha para organizar utensilios; pestaña de 2 cm ajustable al cajón.,,,,10009411,CUBIERTERO PLÁSTICO 3 ESPACIOS P48xA43xH5cm,espacios=3,
SPAR,Accesorios para cocina,,,Cubiertero plástico,Cubiertero monoconcha para organizar utensilios; pestaña de 2 cm ajustable al cajón.,,,,10009412,CUBIERTERO PLÁSTICO 4 ESPACIOS P48xA53xH5cm,espacios=4,
SPAR,Accesorios para cocina,,,Cubiertero plástico,Cubiertero monoconcha para organizar utensilios; pestaña de 2 cm ajustable al cajón.,,,,10009414,CUBIERTERO PLÁSTICO 6 ESPACIOS P48xA73xH5cm,espacios=6,
SPAR,Accesorios para cocina,,,Esquina mágica Spar gris grafito cierre lento,"Accesorio para aprovechar esquinas de difícil almacenamiento, base en melamina de fácil limpieza. Cierre lento antideslizante.",,Gran accesibilidad|Optimiza el espacio reducido|Espacio de salida 450–500 mm,,10030064-D,ESQUINA MÁGICA SPAR GRIS GRAFITO / DERECHA,orientacion=Derecha,
SPAR,Accesorios para cocina,,,Esquina mágica Spar gris grafito cierre lento,"Accesorio para aprovechar esquinas de difícil almacenamiento, base en melamina de fácil limpieza. Cierre lento antideslizante.",,Gran accesibilidad|Optimiza el espacio reducido|Espacio de salida 450–500 mm,,10030064-I,ESQUINA MÁGICA SPAR GRIS GRAFITO / IZQUIERDA,orientacion=Izquierda,
SPAR,Accesorios para cocina,,,Botellero 2 niveles Spar cierre lento,"Accesorio para organizar especias, botellas y condimentos. Fácil limpieza y sistema de cierre lento.",,Sistema cierre lento|Incluye 1 par de rieles y estructura con dos canastillas,,10030066,BOTELLERO 2 NIVELES SPAR CIERRE LENTO MOD 15CM GRAFITO,acabado=Grafito|modulo=15 cm,
SPAR,Accesorios para cocina,,,Botellero 2 niveles Spar cierre lento,"Accesorio para organizar especias, botellas y condimentos. Fácil limpieza y sistema de cierre lento.",,Sistema cierre lento|Incluye 1 par de rieles y estructura con dos canastillas,,10009460,BOTELLERO 2 NIVELES SPAR CIERRE LENTO CROMADO MOD 150MM,acabado=Cromado|modulo=15 cm,
SPAR,Accesorios para cocina,,,Despensa abatible grafito melamina gris,Despensa abatible con base en melamina color grafito. Riel de extracción para movimiento y funcionalidad.,,Estructura acero pintura electrostática|6 canastillas interiores + 6 para puerta + brazos|No incluye bisagras (sugerida clip-on cierre lento 10009346),Módulo=45 cm,10030065,DESPENSA ABATIBLE GRAFITO 45CM P514 x A450 x H1820 mm,,
